,name,commodity
412,Eastfield Resources Ltd.,Gold
413,Eclipse Gold Mining Corp,Gold
414,"EDM-Empresa de Desenvolvimento Mineiro, SA",Gold
415,Eldorado Gold Corporation,Gold
416,Ely Gold Royalties Inc.,Gold
417,EMX Royalty Corp.,Gold
418,Endurance Gold Corp,Gold
419,Energold Corp.,Gold
420,Engineer Gold Mines Ltd,Gold
421,Entrée Resources Ltd.,Gold
422,EnviroLeach Technologies Inc.,Gold
423,Equus Mining Limited,Gold
424,Eros Resources Corp.,Gold
425,Evergold Corp,Gold
426,Evrim Resources Corp.,Gold
427,Exiro Minerals Corp.,Gold
428,FireFox Gold Corp.,Gold
429,First Majestic Silver Corp.,Gold
430,First Mining Gold Corp.,Gold
431,Fomicruz S.E.,Gold
432,Fortune Minerals Limited,Gold
433,Forum Energy Metals Corp.,Gold
434,Galleon Gold Corp.,Gold
435,Galway Metals Inc.,Gold
436,Garibaldi Resources Corp,Gold
437,Gatling Exploration Inc.,Gold
438,Generation Mining Limited,Gold
439,Genesis Metals,Gold
440,Geomega Resources Inc.,Gold
441,Geophysx Jamaica Ltd,Gold
442,GFG Resources Inc.,Gold
443,Globe Trotters Resource Group Inc.,Gold
444,Globex Mining Enterprises Inc.,Gold
445,Globmine LLP,Gold
446,GMV Minerals Inc.,Gold
447,Gold Group Management Inc.,Gold
448,Gold Springs Resource Corp.,Gold
449,Gold Terra Resource Corp.,Gold
450,Golden Arrow Resources,Gold
451,Golden Goliath Resources Ltd.,Gold
452,Golden Minerals Company,Gold
453,Golden Predator Mining Corp.,Gold
454,Golden Star Resources Limited,Gold
455,GoldMining Inc.,Gold
456,Goldmoney Inc.,Gold
457,GoldQuest Mining Corp.,Gold
458,Goldsource Mines Inc.,Gold
459,Goldspot Discoveries Inc.,Gold
460,Gossan Resources Limited,Gold
461,Gowest Gold Ltd.,Gold
462,GR Sliver Mining Ltd.,Gold
463,Gran Colombia Gold Corp.,Gold
464,Greg Exploration Inc.,Gold
465,Grizzly Discoveries Inc.,Gold
466,GT Gold Corp.,Gold
467,Hammer Metals Ltd,Gold
468,Harfang Exploration Inc.,Gold
469,Harte Gold Corp.,Gold
470,Hecla Mining Company,Gold
471,High Power Exploration,Gold
472,HighGold Mining Inc,Gold
473,HPQ Silicon Resources,Gold
474,IAMGOLD Corporation,Gold
475,Inca One Gold Corp.,Gold
476,Independence Gold Corp.,Gold
477,Integra Resources Corp.,Gold
478,International Millennium Mining Corp.,Gold
479,Jaguar Mining Inc.,Gold
480,Japan Gold Corp.,Gold
481,K92 Mining Inc.,Gold
482,Kalo Exploration Ltd,Gold
483,Kerr Mines Inc.,Gold
484,Kesselrun Resources Ltd.,Gold
485,Kingsgate Consolidated Limited,Gold
486,Kinross Gold Corporation,Gold
487,Kirkland Lake Gold Ltd.,Gold
488,Kootenay Silver Inc.,Gold
489,Kopy Goldfields AB,Gold
490,Kutcho Copper Corp.,Gold
491,Lara Exploration Ltd.,Gold
492,Latin Metals Inc.,Gold
493,Laurion Mineral Exploration Inc.,Gold
494,Leagold Mining Corporation,Gold
495,Libero Copper,Gold
496,Liberty Gold Corp.,Gold
497,Lion One Metals,Gold
498,Longland Resources Ltd,Gold
499,"Lumina Group, The",Gold
500,Lundin Group,Gold
501,Mako Mining Corp.,Gold
502,MANAGEM Group,Gold
503,Mandalay Resources Corp.,Gold
504,Manex Resource Group Inc.,Gold
505,Manitou Gold Inc.,Gold
506,Marathon Gold Corporation,Gold
507,Mawson Resources Limited,Gold
508,Maya Gold & Silver Inc.,Gold
509,McEwen Mining Inc.,Gold
510,MegumaGold,Gold
511,Metallic Group of Companies,Gold
512,Metals Creek Resources Corp.,Gold
513,Metals Group Inc.,Gold
514,Midas Gold Corp.,Gold
515,Midland Exploration Inc.,Gold
516,Minaurum Gold Inc.,Gold
517,Minera Alamos Inc.,Gold
518,Mineral Mountain Resources Ltd.,Gold
519,Mira Stone Ltd,Gold
520,Mirasol Resources Ltd.,Gold
521,Mississauga Mining,Gold
522,Monarques Gold Corporation,Gold
523,Moneta Porcupine Mines Inc.,Gold
524,Monument Mining Limited,Gold
525,Morocota Gold SAS,Gold
526,Moydow Resources Limited,Gold
527,Mundoro Capital Inc.,Gold
528,Nevada Exploration Inc.,Gold
529,New Found Gold Corp,Gold
530,New Gold Inc.,Gold
531,Newcrest Mining Ltd.,Gold
532,Newmont Corporation,Gold
533,Newrange Gold Corp.,Gold
534,Nicola Mining Inc.,Gold
535,NioBay Metals Inc.,Gold
536,Northern Dynasty Minerals Ltd.,Gold
537,Northern Shield Resources Inc.,Gold
538,Northern Superior Resources Inc.,Gold
539,Northern Vertex Mining Corp.,Gold
540,Northstar Gold Corp.,Gold
541,Novagold Resources Inc.,Gold
542,OceanaGold Corporation,Gold
543,Opus One Resources Inc.,Gold
544,Orefinders Resources Inc.,Gold
545,Orezone Gold Corporation,Gold
546,Orford Mining Corp.,Gold
547,Orla Mining Ltd.,Gold
548,Orsu Metals Corporation,Gold
549,Orvana Minerals Corp.,Gold
550,Osino Resources Corp.,Gold
551,Osisko Gold Royalties Ltd.,Gold
552,Otso Gold Corp.,Gold
553,Pacific Empire Minerals Corp.,Gold
554,Pacific Trends Resources Pty Ltd,Gold
555,Pacton Gold Inc.,Gold
556,Palamina Corp.,Gold
557,Pancontinental Resources Corporation,Gold
558,Panda Mining Pty Ltd,Gold
559,Panthera Resources Plc,Gold
560,Patagonia Exploracion S.A.,Gold
561,Pavey Ark Minerals Inc.,Gold
562,Peel Mining Ltd.,Gold
563,Pelangio Exploration Inc.,Gold
564,Peloton Minerals Corporation,Gold
565,Playfair Mining Ltd.,Gold
566,Portofino Resources Inc.,Gold
567,PPX Mining Corp.,Gold
568,Premier Gold Mines Limited,Gold
569,Privateer Gold,Gold
570,Probe Metals Inc.,Gold
571,Prolific Mining Corp.,Gold
572,Pucara Resources,Gold
573,Pure Gold Mining,Gold
574,QMX Gold Corporation,Gold
575,Radisson Mining Resources Inc.,Gold
576,Red Cloud Securities Inc.,Gold
577,Red Metal Resources Ltd.,Gold
578,Red Pine Exploration Inc.,Gold
579,Redstar Gold Corp.,Gold
580,Regulus Resources Inc.,Gold
581,Renaissance Gold Inc.,Gold
582,Renforth Resources Inc.,Gold
