add,city,country,exchange,geometry,name,region,state,stock,symbol,website
"1090 W Georgia St, Vancouver, BC V6E 3V7",Vancouver,ca,TSX-Venture,POINT (-123.123296 49.285369),Tinka Resources Limited,,British Columbia,0.18 CDN,TK ,http://www.tinkaresources.com
"100 Adelaide St W, Toronto, ON M5H 1S3",Toronto,ca,TMX ,POINT (-79.38205600000001 43.649612),Toronto Stock Exchange,,Ontario,117.10 CDN,X,http://www.tsx.com
"410 Falconbridge Rd, Sudbury, ON P3A 4S4",Sudbury,ca,TSX-Venture,POINT (-80.926716 46.515118),Transition Metals Corp.,,Ontario,0.18 CDN,XTM ,http://www.transitionmetalscorp.com
"130 King St W, Toronto, ON M5X 1B1",Toronto,ca,TSX-Venture,POINT (-79.38324249999999 43.648418),Treasury Metals Inc.,,Ontario,0. 26 CDN,TML,http://www.treasurymetals.com
"1934 131 St White Rock, BC V4A 7R7",White Rock,ca,TSX-Venture,POINT (-122.859595 49.037326),Tres-Or Resources Ltd.,,British Columbia,0.09 CDN,TRS,http://www.tres-or.com
"999 West Hastings St, Vancouver, BC V6C 2W2",Vancouver,ca,TSX-Venture,POINT (-123.11651 49.287199),Trevali Mining Corporation,,British Columbia,0.17 CDN (low for production...?),TV,http://www.trevali.com
"125 Don Hillock Dr, Aurora, ON L4G 0H8",Toronto,ca,TSX-Venture,POINT (-79.412278 44.009052),Tri Origin Exploration Ltd.,,Ontario,0.02 CDN,TOE ,http://www.triorigin.com
"609 Granville St, Vancouver, BC V7Y 1G5",Vancouver,ca,TSE/NYSE,POINT (-123.1157179 49.2829861),Trilogy Metals Inc.,,British Columbia,2.69 CDN,TMQ,http://www.trilogymetals.com
"7950 East Acoma Dr, Scottsdale, AZ 85260",Scottsdale,us,TSX-Venture/OTCQB,POINT (-111.909146 33.6178188),TriStar Gold Inc.,,Arizona,0.32 CDN,TSG/TSGZF,http://www.tristargold.com
"1111 Melville St, Vancouver, BC V6E 3V6",Vancouver,ca,TSX-Venture/OTC/Frankfurt ,POINT (-123.122136 49.286786),Triumph Gold Corp.,,British Columbia,0.23 CDN,TIG/TIGCF/8N61,http://www.triumphgoldcorp.com
"36 Lombard St, Toronto, ON M5C 2X3",Toronto,ca,TSX-Venture/OTCQB,POINT (-79.376312 43.651821),Troilus Gold Corp.,,Ontario,0.76 CDN,TLG/CHXMF,http://www.troilusgold.com
"837 W Hastings St, Vancouver, BC V6C 3N6",W Vancouver,ca,TSX-Venture/Frankfurt,POINT (-123.115131 49.286164),Tudor Gold Corp.,,British Columbia,0.61 CDN,TUD/TUC.F,http://www.tudor-gold.com
"100 King St W, Toronto, ON M5X 1C7",Toronto,ca,CSE/OTCMKTS,POINT (-79.3816918 43.6487681),Ubique Minerals Ltd.,,Ontario,0.05 CDN,UBQ/GRNBF,http://www.ubiqueminerals.com
"210 Waterfront Dr,  Bedford, NS B4A 0H3",Halifax,ca,TSX-Venture/OTCQX/FSE,POINT (-63.673267 44.714911),Ucore Rare Metals Inc.,,Nova Scotia,0.20 CDN,UCU/UURAF/U9U ,http://www.ucore.com
"3530 Millar Ave, Saskatoon, SK S7P 0B6",Saskatoon,ca,TSX-Venture,POINT (-106.646538 52.187503),UEX Corporation,,Saskatchewan,0.12 CDN,UEX ,http://www.uexcorp.com
"141 Adelaide St W, Toronto, Ontario M5H 3L5",Toronto,ca,TSX-Venture,POINT (-79.404066 43.644554),Unigold Inc.,,Ontario,0.20 CDN,UGD,http://www.unigoldinc.com
"500 N Shoreline Blvd, Corpus Christi, TX 78401",Corpus Christi,us,NYSE,POINT (-97.39184729999999 27.7950228),Uranium Energy Corp.,,Texas,0.89 USD,UEC,http://www.uraniumenergy.com
"10758 W Centennial Road, Littleton, CO 80127",Littleton,us,TSE/NYSE,POINT (-105.120163 39.567038),Ur-Energy Inc.,,Colorado,0.71 CDN,URE/URG,http://www.ur-energy.com
"Praia de Botafogo, 186 - Botafogo, Rio de Janeiro, 22250-040",Rio de Janeiro,br,NYSE,POINT (-43.1822896 -22.94755),Vale Canada Limited,,Rio de Janeiro,12.10 USD,VALE ,http://www.vale.com
"Avenida del Partenón, 16-18, 28042 Madrid",Madrid,es,See Sycre?,POINT (-3.6162858 40.4638462),Valoriza Mineria SL,,Community of Madrid,/,/,http://www.valorizamineria.com
"110 Yonge St, Toronto, ON M5C 1T4",Toronto,ca,,POINT (-79.38515700000001 43.647459),Vanadium One Iron Corp.,,Ontario,,,http://www.vanadiumone.com
"1505 W 2nd, Vancouver, BC V6H 3Y4",Vancouver,ca,TSX-Venture,POINT (-123.137983 49.269592),VanadiumCorp Resource Inc.,,British Columbia,0.05 CDN,VRB ,http://www.vanadiumcorp.com
"1177 W Hastings St, Vancouver, BC V6E 2K3",Vancouver,ca,TSX-Venture,POINT (-123.119792 49.287988),Velocity Minerals Ltd.,,British Columbia,0.44 CDN,VLC ,http://www.velocityminerals.com
"80 Richmond St W, Toronto, ON M5H 2A4",Toronto,ca,CSE,POINT (-79.38215599999999 43.651237),Victory Nickel Inc.,,Ontario,0.03 CDN,NI ,http://www.victorynickel.ca
"1801 McGill College Ave, Montreal, QC H3A 2N4",Montreal,ca,TSX-Venture,POINT (-73.601584 45.557805),Vior Inc.,,Quebec,0.10 CDN,VIO ,http://www.vior.ca
"7961 Shaffer Parkway, Littleton, CO 80127",Littleton,us,TSE/NYSE,POINT (-105.133152 39.574207),Vista Gold Corp.,,Colorado,0.92 CDN,VGZ,http://www.vistagold.com
"8047 199 St, Langley, BC V2Y 0E2",Vancouver,ca,TSX-Venture/OTCBB/Frankfurt,POINT (-122.671782 49.149145),Viva Gold Corp.,,British Columbia,0.23 CDN,VAU/VAUCF/7PB,http://www.vivagoldcorp.com
"1030 West Georgia St, Vancouver, BC V6E 2Y3",Vancouver,ca,TSX-Venture,POINT (-123.122024 49.284541),Vizsla Resources Corp.,,British Columbia,0.69 CDN,VZLA,http://www.vizslaresources.com
"700 West Pender St, Vancouver, BC V6C 1G8",Vancouver,ca,TSX-Venture/OTC/Frankfurt,POINT (-123.1154498 49.2846592),VR Resources Ltd.,,British Columbia,0.35 CDN,VRR/VRRCF/5VR,http://www.vrr.ca
"333 Duckworth St St John's, NL A1C 1G9",St. John's,ca,TSX-Venture,POINT (-52.707813 47.564626),Vulcan Minerals Inc.,,Newfoundland and Labrador,0.05 CDN,VUL ,http://www.vulcanminerals.ca
129 Fielding Road Lively ON P3Y 1L7,Lively,ca,TSX-Venture,POINT (-81.09700599999999 46.446123),Wallbridge Mining Company Limited,,Ontario,0.89 CDN,WM ,http://www.wallbridgemining.com
"353 Dalhousie St, Ottawa, ON K1N 7G1",Ottawa,ca,,POINT (-75.690315 45.4281637),WCPD Inc.,,Ontario,,,http://www.wcpd.com
"1177 West Hastings St, Vancouver, BC V6E 2K3",Vancouver,ca,TSX-Venture/OTCQB,POINT (-123.119792 49.287988),Wealth Minerals Ltd.,,British Columbia,0.30 CDN,WML/WMLLF,http://www.wealthminerals.com
"220 Bay St, Toronto, ON M5J 2W4",Toronto,ca,TSE,POINT (-79.379954 43.647552),Wesdome Gold Mines,,Ontario,9.73 CDN,WDO,http://www.wesdome.com
"82 Richmond St E, Toronto, ON  M5C 1P1",Toronto,ca,CSE,POINT (-79.3750388 43.6526534),West Red Lake Gold Mines Inc.,,Ontario,0.07 CDN,RLG ,http://www.westredlakegold.com
"3573 E Sunrise Drive, Tucson, AZ 85718",,us,private ,POINT (-110.9128694 32.3152636),Western Alaska Copper and Gold,,Arizona,,,http://www.wacg.rocks
"666 Burrard St, Vancouver, BC V6C 2X8",Vancouver,ca,TSX-Venture,POINT (-123.119358 49.285067),Western Atlas Resources Inc.,,British Columbia,0.08 CDN,WA,http://www.westernar.com
"1040 West Georgia St, Vancouver, BC V6E 4H",,ca,TSE/NYSE,,Western Copper and Gold Corporation,,,0.79 CDN,WRN,http://www.westerncopperandgold.com
"330 Bay St, Toronto, ON M5H 2S8",Toronto,ca,CSE/OTCQX,POINT (-79.381218 43.650112),Western Uranium & Vanadium Corp.,,Ontario,0.77 CDN,WUC/WSTRF,http://www.western-uranium.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX-Venture,POINT (-123.1142912 49.2853029),Westhaven Ventures Inc.,,British Columbia,0.70 CDN,WHN ,http://www.westhavenventures.com
"1021 West Hastings St Vancouver, BC V6E 0C3",Vancouver,ca,TSE/NYSE,POINT (-123.081309 49.281117),Wheaton Precious Metals Corp.,,British Columbia,41.65 CDN,WPM,http://www.wheatonpm.com
"82 Richmond St E, Toronto, ON M5C 1P1",Toronto,ca,TSX-Venture/OTC,POINT (-79.3750388 43.6526534),White Gold Corp.,,Ontario,0.87 CDN,WGO/WHGOF,http://www.whitegoldcorp.ca
"12 Anderson St, West Ballarat, Victoria 3350",BALLARAT CENTRAL,au,Sydney (ASX),POINT (143.8599147 -37.5653844),White Rock Minerals,,VICTORIA,0.00 AUS,WRM,http://www.whiterockminerals.com.au
"580 Hornby St, Vancouver, BC V6C 3B6",Vancouver,ca,TSX-Venture/OTC,POINT (-123.117909 49.285199),Wildsky Resources Inc.,,British Columbia,0.06 CDN,WSK/HWTHF,http://www.wildskyresources.com
"7005 Boulevard Taschereau, Brossard, QC J4Z 1A7",Brossard,ca,TSX-Venture,POINT (-73.4654007 45.4667634),Windfall Geotek Inc.,Montérégie,Quebec,0.09 CDN,WIN,http://www.windfallgeotek.com
"1100 Russell St, Thunder Bay, ON P7B 5N2",Thunder Bay,ca,TSX-Venture,POINT (-89.254509 48.402074),Wolfden Resources Corporation,,Ontario,0.14 CDN,WLF ,http://www.wolfdenresources.com
"837 W Hastings St, Vancouver, BC V6C 3N6",W Vancouver,ca,TSX-Venture,POINT (-123.115131 49.286164),Xiana Mining Inc.,,British Columbia,0.22 CDN,XIA,http://www.xianamining.com
"888 Dunsmuir St, Vancouver, BC V6C 3K4",Vancouver,ca,TSX-Venture/OTC/FRA,POINT (-123.118347 49.284543),Ximen Mining Corp.,,British Columbia,0.41 CDN,XIM/XXMMF/1XMA,http://www.ximenminingcorp.com
"139 Avenue Québec, Rouyn-Noranda, QC J9X 6M8",Rouyn-Noranda,ca,TSX-Venture/Frankfurt,POINT (-79.029276 48.239912),X-Terra Resources,,Quebec,0.09 CDN,XTT/XTR,http://www.xterraresorces.com
"200 Bay St, Toronto, ON M5J 2J3",Toronto,ca,TSE/NSYE,POINT (-79.432474 43.647232),Yamana Gold Inc.,,Ontario,5.78 CDN,YRI/AUY ,http://www.yamana.com
"110 Boulevard Crémazie O, Montréal, QC H2P 1B9",Montreal,cca,TSX-Venture,POINT (-73.642751 45.540262),Yorbeau Resources Inc.,,Quebec,0.04 CDN,YRB,http://www.yorbeauresources.com
"106 Strickland St, Whitehorse, YT Y1A 2J5",Whitehorse,ca,See Individual companies,POINT (-135.054207 60.723022),Yukon Mining Alliance,,Yukon,,,http://www.yukonminingalliance.ca
"1205 Amber Drive, Thunder Bay, ON P7B 6M4",Thunder Bay,ca,TSX-Venture/OTCQB,POINT (-89.262342 48.409727),Zen Graphene Solutions,,Ontario,0.52 CDN,ZEN/ZENYF,http://www.zengraphene.com
"1959 Upper Water St, Halifax, NS B3J 3N2",Halifax,ca,TSX-Venture/OTC,POINT (-63.574183 44.651743),Zephyr Minerals Ltd.,,Nova Scotia,0.25 CDN,ZFR/ZPHYF,http://www.zephyrminerals.com
"789 West Pender St, Vancouver, BC V6C 1H2",Vancouver,ca,TSX-Venture/FSE,POINT (-123.115458 49.285288),Zimtu Capital Corp.,,British Columbia,0.15 CDN,ZC/ZCT1,http://www.zimtu.com
"1055 West Georgia St, Vancouver, BC V6E 3P3",Vancouver,ca,TSX-Venture,POINT (-123.120389 49.2851711),ZincX Resources Corp.,,British Columbia,0.10 CDN,ZNX ,http://www.zincxresources.com
,,,,,Affinity Metals  Corp,,,,,http://www.affinity-metals.com
,,,,,Aranjin Resources Ltd,,,,,http://www.ionenergy.ca
,,,,,Dolly Varden Silver,,,,,http://www.dollyvardensilver.com
,,,,,GR Silver Mining Ltd.,,,,,http://www.grsilvermining.com
,,,,,Mosra Enerji,,,,,http://www.mosraenerji.com
,,,,,Sparton Resources Inc.,,,,,http://www.spartonresources.com
