name,exchange,symbol,stock,add,country
Genesis Metals,TSX-Venture/OTCQX/Frankfurt ,GIS/GGISF,0.40 CDN,"800 W Pender St, Vancouver, BC V6C 2V6",ca
Geomega Resources Inc.,TSE,GMA,0.17 CDN,"75 Boulevard de Mortagne, Boucherville, QC J4B 6Y4",ca
Geophysx Jamaica Ltd,,,,"85 Hope Road, Kingston, Jamaica",jm
GFG Resources Inc.,TSX-Venture ,GFG,0.17 CDN,"640 Broadway Ave, Saskatoon, SK S7N 1A9",ca
Globe Trotters Resource Group Inc.,,,,"250 Howe St, Vancouver, BC V6C 3R8",ca
Globex Mining Enterprises Inc.,TSE/OTCQX/Frankfurt,GMX/GLBXF/G1MN,0.35 CDN,"86 14th St, Rouyn-Noranda, QC J9X 2J1",ca
Globmine LLP,,,,,
GMV Minerals Inc.,TSX-Venture ,GMV ,0.16 CDN,"1090 West Georgia St, Vancouver, BC V6E 3V7",ca
Go Metals Corp.,CSE,GOCO,0.05 CDN,"1111 Melville St, Vancouver, BC V6E 3V6",ca
Gold Group Management Inc.,multiple,multiple,multiple,"200 Burrard St, Vancouver BC V6C 3L6",ca
Gold Springs Resource Corp.,TSX-Venture ,GRC,0.12 CDN,"580 Hornby St, Vancouver, BC V6C 3B6",ca
Gold Terra Resource Corp.,,,,,
Golden Arrow Resources,TSX-Venture ,GRG ,0.16 CDN,"837 W Hastings St, Vancouver, BC V6C 3N6",ca
Golden Goliath Resources Ltd.,TSX-Venture ,GNG ,0.07 CDN,"688 W Hastings St, Vancouver, BC V6B 1P1",ca
Golden Minerals Company,TSE/NYSE,AUMN,0.34 CDN,"350 Indiana St, Golden, CO 80401",us
Golden Predator Mining Corp.,TSX-Venture ,GPY,0.29 CDN,"200 Burrard St, Vancouver, BC V6C 3L6",ca
Golden Star Resources Limited,TSE/NYSE,GSC/GSS,3.90 CDN,"150 King St W, Toronto, ON M5H 1J9",ca
GoldMining Inc.,TSE/SPOT/OTCQX,GOLD/GOLD/GLDLF,1.54 CDN,"1030 W Georgia St, Vancouver, BC V6E 2Y3",ca
Goldmoney Inc.,TSE/NASDAQ,XAU/XAUMF,1.85 CDN,"38 Avenue Rd Toronto, ON M5R 2G2",ca
GoldQuest Mining Corp.,TSX-Venture ,GQC,0.14 CDN,"133 Richmond St W, Toronto, ON M5H 2L3",ca
Goldsource Mines Inc.,TSX-Venture ,GXS ,0.08 CDN,"570 Granville St, Vancouver, BC V6C 3P1",ca
Goldspot Discoveries Inc.,TSX-Venture ,SPOT,0.20 CDN,"69 Yonge St, Toronto, ON M5E 1K3",ca
Gossan Resources Limited,TSX-Venture/Frankfurt-Freiverkehr & Xetra Exchanges,GSS/GSR,0.06 CDN,"171 Donald St, Winnipeg, MB R3C 1M4",ca
Gowest Gold Ltd.,TSX-Venture ,GWA ,0.22 CDN,"80 Richmond St W, Toronto, ON M5H 2A4",ca
GR Sliver Mining Ltd.,TSE/OTCQX,GRSL/GRSLF,0.23 CDN,"999 W Hastings St, Vancouver, BC V6C 2W2",ca
Gran Colombia Gold Corp.,TSE/OTCQX,GCM/TPRFF,5.54 CDN,"401 Bay St, Toronto, ON M5H 2Y4",ca
