name,commodity
GMV Minerals Inc.,Gold
Gold Group Management Inc.,Gold
Gold Springs Resource Corp.,Gold
Gold Terra Resource Corp.,Gold
Golden Arrow Resources,Gold
Golden Goliath Resources Ltd.,Gold
Golden Minerals Company,Gold
Golden Predator Mining Corp.,Gold
Golden Star Resources Limited,Gold
GoldMining Inc.,Gold
Goldmoney Inc.,Gold
GoldQuest Mining Corp.,Gold
Goldsource Mines Inc.,Gold
Goldspot Discoveries Inc.,Gold
Gossan Resources Limited,Gold
Gowest Gold Ltd.,Gold
GR Sliver Mining Ltd.,Gold
Gran Colombia Gold Corp.,Gold
Greg Exploration Inc.,Gold
Grizzly Discoveries Inc.,Gold
GT Gold Corp.,Gold
Hammer Metals Ltd,Gold
Harfang Exploration Inc.,Gold
Harte Gold Corp.,Gold
Hecla Mining Company,Gold
High Power Exploration,Gold
HighGold Mining Inc,Gold
HPQ Silicon Resources,Gold
IAMGOLD Corporation,Gold
Inca One Gold Corp.,Gold
Independence Gold Corp.,Gold
Integra Resources Corp.,Gold
International Millennium Mining Corp.,Gold
Jaguar Mining Inc.,Gold
Japan Gold Corp.,Gold
K92 Mining Inc.,Gold
Kalo Exploration Ltd,Gold
Kerr Mines Inc.,Gold
Kesselrun Resources Ltd.,Gold
Kingsgate Consolidated Limited,Gold
Kinross Gold Corporation,Gold
Kirkland Lake Gold Ltd.,Gold
Kootenay Silver Inc.,Gold
Kopy Goldfields AB,Gold
Kutcho Copper Corp.,Gold
Lara Exploration Ltd.,Gold
Latin Metals Inc.,Gold
Laurion Mineral Exploration Inc.,Gold
Leagold Mining Corporation,Gold
Libero Copper,Gold
Liberty Gold Corp.,Gold
Lion One Metals,Gold
Longland Resources Ltd,Gold
"Lumina Group, The",Gold
Lundin Group,Gold
Mako Mining Corp.,Gold
MANAGEM Group,Gold
Mandalay Resources Corp.,Gold
Manex Resource Group Inc.,Gold
Manitou Gold Inc.,Gold
Marathon Gold Corporation,Gold
Mawson Resources Limited,Gold
Maya Gold & Silver Inc.,Gold
McEwen Mining Inc.,Gold
MegumaGold,Gold
Metallic Group of Companies,Gold
Metals Creek Resources Corp.,Gold
Metals Group Inc.,Gold
Midas Gold Corp.,Gold
Midland Exploration Inc.,Gold
Minaurum Gold Inc.,Gold
Minera Alamos Inc.,Gold
Mineral Mountain Resources Ltd.,Gold
Mira Stone Ltd,Gold
Mirasol Resources Ltd.,Gold
Mississauga Mining,Gold
Monarques Gold Corporation,Gold
Moneta Porcupine Mines Inc.,Gold
Monument Mining Limited,Gold
Morocota Gold SAS,Gold
Moydow Resources Limited,Gold
Mundoro Capital Inc.,Gold
Nevada Exploration Inc.,Gold
New Found Gold Corp,Gold
New Gold Inc.,Gold
Newcrest Mining Ltd.,Gold
Newmont Corporation,Gold
Newrange Gold Corp.,Gold
Nicola Mining Inc.,Gold
NioBay Metals Inc.,Gold
Northern Dynasty Minerals Ltd.,Gold
Northern Shield Resources Inc.,Gold
Northern Superior Resources Inc.,Gold
Northern Vertex Mining Corp.,Gold
Northstar Gold Corp.,Gold
Novagold Resources Inc.,Gold
OceanaGold Corporation,Gold
Opus One Resources Inc.,Gold
Orefinders Resources Inc.,Gold
Orezone Gold Corporation,Gold
Orford Mining Corp.,Gold
Orla Mining Ltd.,Gold
Orsu Metals Corporation,Gold
Orvana Minerals Corp.,Gold
Osino Resources Corp.,Gold
Osisko Gold Royalties Ltd.,Gold
Otso Gold Corp.,Gold
Pacific Empire Minerals Corp.,Gold
Pacific Trends Resources Pty Ltd,Gold
Pacton Gold Inc.,Gold
Palamina Corp.,Gold
Pancontinental Resources Corporation,Gold
Panda Mining Pty Ltd,Gold
Panthera Resources Plc,Gold
Patagonia Exploracion S.A.,Gold
Pavey Ark Minerals Inc.,Gold
Peel Mining Ltd.,Gold
Pelangio Exploration Inc.,Gold
Peloton Minerals Corporation,Gold
Playfair Mining Ltd.,Gold
Portofino Resources Inc.,Gold
PPX Mining Corp.,Gold
Premier Gold Mines Limited,Gold
Privateer Gold,Gold
Probe Metals Inc.,Gold
Prolific Mining Corp.,Gold
Pucara Resources,Gold
Pure Gold Mining,Gold
QMX Gold Corporation,Gold
Radisson Mining Resources Inc.,Gold
Red Cloud Securities Inc.,Gold
Red Metal Resources Ltd.,Gold
Red Pine Exploration Inc.,Gold
Redstar Gold Corp.,Gold
Regulus Resources Inc.,Gold
Renaissance Gold Inc.,Gold
Renforth Resources Inc.,Gold
Reunion Gold Corporation,Gold
Revelo Resources Corp.,Gold
Revival Gold Inc.,Gold
Rio Tinto,Gold
Riverside Resources Inc.,Gold
RJK Explorations Ltd.,Gold
RNC Minerals,Gold
Rockcliff Metals Corporation,Gold
ROKMASTER Resources Corp.,Gold
Romios Gold Resources Inc.,Gold
Roscan Gold Corporation,Gold
Roxgold Inc.,Gold
Royal Canadian Mint,Gold
Royal Road Minerals,Gold
Rugby Mining Limited,Gold
S2 Resources Ltd.,Gold
Sabina Gold & Silver Corp.,Gold
Salazar Resources Limited,Gold
Sandstorm Gold Royalties,Gold
Searchlight Resources Inc.,Gold
SEMAFO Inc.,Gold
Serabi Gold plc,Gold
Serengeti Resources Inc.,Gold
Sierra Metals Inc.,Gold
SilverCrest Metals Inc.,Gold
Sirios Resources Inc.,Gold
Sitka Gold Corp,Gold
Skeena Resources Ltd.,Gold
Skyharbour Resources Ltd.,Gold
Sokoman Minerals Corp.,Gold
SolGold,Gold
Sonoro Metals Corp.,Gold
Sphinx Resources Ltd.,Gold
Spirit Mining LLC,Gold
Sprott Group of Companies,Gold
Starcore International Mines Ltd.,Gold
Steppe Gold Limited,Gold
Stratabound Minerals Corp.,Gold
Strategic Exploration Group,Gold
Stuhini Exploration Ltd.,Gold
Sun Peak Metals,Gold
Talisker Resources,Gold
Tectonic Metals Inc.,Gold
Telson Mining Corporation,Gold
Tempus Resources Limited,Gold
Teranga Gold Corporation,Gold
Tethyan Resource Corp.,Gold
Timberline Resources Corporation,Gold
Transition Metals Corp.,Gold
Treasury Metals Inc.,Gold
Tres-Or Resources Ltd.,Gold
Tri Origin Exploration Ltd.,Gold
Trilogy Metals Inc.,Gold
TriStar Gold Inc.,Gold
Triumph Gold Corp.,Gold
Troilus Gold Corp.,Gold
Tudor Gold Corp.,Gold
Unigold Inc.,Gold
Ur-Energy Inc.,Gold
Valoriza Mineria SL,Gold
Velocity Minerals Ltd.,Gold
Vior Inc.,Gold
Vista Gold Corp.,Gold
