name,country
Eros Resources Corp.,United States
Evrim Resources Corp.,United States
Excelsior Mining Corp.,United States
Fiore Gold,United States
Forum Energy Metals Corp.,United States
GFG Resources Inc.,United States
Globex Mining Enterprises Inc.,United States
GMV Minerals Inc.,United States
Gold Group Management Inc.,United States
Gold Springs Resource Corp.,United States
Golden Minerals Company,United States
GoldMining Inc.,United States
Goldmoney Inc.,United States
Hecla Mining Company,United States
HighGold Mining Inc,United States
Independence Gold Corp.,United States
Integra Resources Corp.,United States
International Millennium Mining Corp.,United States
ioneer,United States
Kerr Mines Inc.,United States
Kinross Gold Corporation,United States
Libero Copper,United States
Liberty Gold Corp.,United States
Manex Resource Group Inc.,United States
McEwen Mining Inc.,United States
Metallic Group of Companies,United States
Midas Gold Corp.,United States
Mineral Mountain Resources Ltd.,United States
"Morefield Gem Mine, Inc.",United States
Moydow Resources Limited,United States
Nevada Copper Corp.,United States
Nevada Exploration Inc.,United States
New Age Metals,United States
New Gold Inc.,United States
Newcrest Mining Ltd.,United States
Newmont Corporation,United States
Newrange Gold Corp.,United States
Northern Dynasty Minerals Ltd.,United States
Northern Vertex Mining Corp.,United States
Novagold Resources Inc.,United States
OceanaGold Corporation,United States
Orford Mining Corp.,United States
Pancontinental Resources Corporation,United States
Peloton Minerals Corporation,United States
PolyMet Mining Corp.,United States
Prolific Mining Corp.,United States
Prophecy Development Corp.,United States
Quaterra Resources Inc.,United States
Redstar Gold Corp.,United States
Renaissance Gold Inc.,United States
Revival Gold Inc.,United States
Rio Tinto,United States
Romios Gold Resources Inc.,United States
S2 Resources Ltd.,United States
Sandstorm Gold Royalties,United States
Silver One Resources,United States
Sitka Gold Corp,United States
Solitario Zinc Corp.,United States
South32 Limited,United States
Spirit Mining LLC,United States
Strategic Exploration Group,United States
Talon Metals Corp.,United States
Teck Resources Limited,United States
Tectonic Metals Inc.,United States
Timberline Resources Corporation,United States
Trilogy Metals Inc.,United States
Ucore Rare Metals Inc.,United States
Uranium Energy Corp.,United States
Ur-Energy Inc.,United States
Vior Inc.,United States
Viva Gold Corp.,United States
VR Resources Ltd.,United States
Western Alaska Copper and Gold,United States
Western Uranium & Vanadium Corp.,United States
White Rock Minerals,United States
Zephyr Minerals Ltd.,United States
Blackstone Minerals Ltd,Vietnam
Cantex Mine Development Corp,Yemen
Anglo American,Zambia
BeMetals Corp.,Zambia
Copperzone Resources Limited,Zambia
Rio Tinto,Zambia
